CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Total_Trans_Amt,Total_Trans_Ct
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1144,42
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1291,33
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1887,20
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,1171,20
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,816,28
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1088,24
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1330,31
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,1538,36
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,1350,24
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,1441,32
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,1201,42
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,1314,26
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,1539,17
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1311,33
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,1570,29
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1348,27
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,1671,27
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,1028,21
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,1336,30
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1207,21
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,1178,27
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,692,16
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,931,18
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,1126,23
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,1110,21
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1051,22
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1197,23
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,1904,40
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,1052,18
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,1045,38
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,1038,25
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,1596,26
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1589,24
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,1411,28
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,1291,24
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,1407,43
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,1877,37
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,966,22
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,1464,28
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,704,16
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,1109,28
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1347,28
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,1756,33
